States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato
Average Price,42.74,31.26,36.62,86.19,120.38,115.33,110.77,88.34,45.95,59.22,188.43,178.78,156.48,146.67,160.33,129.94,55.99,271.87,21.34,25.85,28.25,41.4
Maximum Price,63.0,55.0,71.0,140.0,183.0,170.0,148.0,130.0,60.0,82.0,279.0,242.0,231.0,198.0,253.0,177.0,128.0,600.0,32.0,60.0,60.0,120.0
Minimum Price,28.0,23.0,28.0,68.0,90.0,83.0,81.0,71.0,38.0,40.0,143.0,136.0,103.0,113.0,123.0,90.0,40.0,150.0,10.0,11.0,13.0,15.0
Modal Price,40.0,28.0,35.0,80.0,120.0,120.0,110.0,90.0,45.0,60.0,185.0,176.0,149.5,154.0,159.0,131.5,50.0,240.0,20.0,20.0,25.0,40.0
Andaman and Nicobar,54.0,,63.67,104.67,134.67,137.33,124.33,98.67,55.67,73.0,244.0,190.5,200.0,,166.67,149.67,77.0,341.0,20.33,53.33,56.67,86.67
Andhra Pradesh,48.88,44.22,47.12,82.29,107.5,108.13,108.94,87.88,44.5,63.11,169.38,188.21,146.0,153.0,159.69,125.27,56.06,290.24,19.47,29.94,25.71,28.44
Arunachal pradesh,42.5,45.0,45.25,96.0,136.75,130.75,119.0,95.25,53.75,75.0,176.0,198.25,153.67,162.25,170.25,,86.0,354.25,17.75,30.5,39.5,54.0
Assam,39.43,35.8,39.5,86.82,121.57,102.65,109.46,88.29,48.11,71.67,186.17,183.93,160.05,151.04,171.43,141.11,61.54,251.54,11.71,21.04,30.14,42.59
Bihar,37.69,28.75,34.64,81.47,117.64,113.06,108.86,79.56,45.8,57.14,197.83,176.74,155.31,154.7,168.96,128.55,48.74,274.66,24.03,19.89,24.03,40.29
Chhattisgarh,38.78,33.44,38.67,89.67,122.67,108.89,108.89,88.89,44.33,57.56,196.13,170.56,151.67,149.56,157.0,139.29,51.89,228.56,21.0,28.0,29.0,33.33
Delhi,40.0,34.0,36.0,87.0,125.0,122.0,117.0,90.0,45.0,57.0,203.0,192.0,167.0,155.0,176.0,144.0,60.0,260.0,27.0,27.0,33.0,57.0
DNH and DD,50.33,38.0,43.33,86.67,125.33,126.33,122.0,92.67,45.0,66.67,185.67,200.67,174.33,168.67,179.0,129.33,62.0,282.33,30.0,25.0,30.33,40.0
Goa,55.5,48.0,49.5,99.0,127.5,135.0,125.0,99.0,45.0,60.0,230.5,189.5,203.5,170.5,167.5,124.5,58.5,331.0,27.5,36.0,35.0,37.0
Gujarat,34.64,33.0,34.64,91.55,117.09,116.27,103.64,89.45,43.18,65.09,167.91,161.64,138.73,151.27,159.64,141.18,54.09,205.91,18.64,28.73,28.0,30.91
Haryana,38.25,28.75,34.5,83.5,138.75,114.0,112.0,84.5,44.25,62.5,209.75,164.75,148.75,133.25,160.5,113.0,52.0,235.25,25.75,19.0,25.33,39.67
Himachal Pradesh,38.58,30.0,34.08,82.0,122.25,121.25,111.92,86.17,48.0,54.5,214.25,189.25,170.42,147.27,163.67,108.0,50.75,269.58,29.17,26.67,32.33,47.75
Jammu and Kashmir,45.71,35.5,40.86,93.71,150.0,121.86,116.43,100.43,49.86,54.71,,197.29,172.57,161.17,182.0,125.0,53.0,324.29,29.29,29.0,35.0,55.14
Jharkhand,39.61,32.0,37.06,85.53,116.17,113.89,110.22,84.61,47.22,59.59,196.79,179.61,160.61,156.83,170.69,132.56,52.22,256.28,25.5,21.28,24.89,47.88
Karnataka,47.59,41.34,44.19,84.47,110.16,118.25,110.0,89.41,44.13,54.47,188.0,181.16,142.66,148.59,155.75,129.41,51.47,241.16,17.91,31.16,25.75,24.94
Kerala,49.54,46.25,48.69,103.0,128.85,125.58,128.69,98.38,45.75,54.58,231.8,209.7,192.0,144.0,168.0,137.83,61.5,231.25,15.0,37.25,28.42,33.5
Ladakh,51.5,,45.0,130.0,181.5,140.0,124.0,120.0,55.0,60.0,,220.0,209.0,198.0,,,70.0,540.0,30.0,44.0,51.5,66.5
Madhya Pradesh,38.81,28.65,34.04,80.06,112.04,109.75,105.04,84.92,44.42,56.5,186.92,169.83,149.73,138.52,158.6,121.38,50.19,234.54,15.81,22.71,20.54,40.75
Maharashtra,44.68,37.26,43.74,86.05,119.32,119.26,114.95,92.11,44.11,60.21,188.11,189.72,161.47,145.95,161.95,137.25,56.95,316.32,24.89,30.26,27.05,39.21
Manipur,56.0,48.0,47.5,98.0,156.5,149.0,130.0,98.5,58.0,75.0,148.5,187.5,219.0,181.0,198.0,172.0,106.5,240.0,27.5,30.5,40.0,75.5
Meghalaya,36.44,41.57,40.33,96.83,144.4,127.0,119.11,86.78,49.56,73.56,,163.22,167.5,156.89,189.0,150.0,76.0,335.56,19.0,25.22,38.22,43.0
Mizoram,50.0,41.13,47.91,100.5,151.5,140.63,131.7,98.36,52.18,80.36,254.0,221.09,205.4,147.0,197.75,131.0,109.45,465.73,30.0,39.45,51.73,94.82
Nagaland,43.31,44.0,52.81,99.75,152.8,129.0,122.44,93.56,50.94,73.4,209.0,161.0,199.0,167.44,209.0,150.5,78.64,333.14,18.25,27.94,45.5,51.13
Odisha,39.79,37.47,43.39,81.87,107.04,105.43,102.04,80.48,46.38,54.17,167.0,188.83,152.67,130.25,161.46,129.09,52.96,288.59,26.33,20.58,26.0,41.21
Punjab,40.33,28.0,33.07,82.87,125.2,125.07,113.13,92.13,44.8,60.73,218.92,178.73,166.8,147.13,172.77,132.92,54.6,273.2,28.2,18.8,26.87,46.07
Rajasthan,42.62,29.66,33.38,84.9,126.04,113.68,102.19,86.45,43.89,53.0,191.04,162.24,139.89,142.31,149.52,136.0,45.11,285.24,19.54,25.82,27.62,33.07
Sikkim,46.5,38.5,40.83,96.67,,,123.33,90.83,52.5,66.83,,199.5,160.0,162.83,185.5,,60.0,341.67,21.17,28.33,37.5,60.0
Tamil Nadu,55.0,46.03,55.61,87.1,115.74,114.26,113.29,89.32,45.74,44.48,199.16,197.84,171.67,,160.9,130.4,58.87,287.7,25.83,39.16,32.81,31.45
Telangana,54.2,39.9,43.1,85.1,119.6,119.7,112.7,87.6,40.4,58.2,168.8,171.4,142.7,142.5,158.0,130.2,52.8,286.8,19.5,31.7,23.4,29.8
Tripura,39.5,,42.5,86.0,115.5,120.0,107.75,102.5,50.5,75.75,,191.0,172.0,160.0,194.0,148.75,70.5,235.5,10.75,22.5,30.25,57.5
Uttar Pradesh,38.76,27.67,33.11,82.53,117.28,112.26,106.32,84.84,44.32,57.86,189.89,168.15,148.15,145.15,155.28,126.04,51.08,238.53,20.66,20.85,24.18,40.55
Uttarakhand,39.0,30.5,36.25,93.0,131.75,116.0,114.75,92.75,44.5,61.25,201.5,183.25,161.25,167.5,170.75,143.0,55.25,263.0,29.0,20.25,26.5,47.75
West Bengal,46.18,30.89,40.0,88.09,125.59,120.05,113.18,98.73,47.5,59.09,200.71,182.24,160.12,147.77,168.68,126.84,56.59,278.5,24.55,19.68,27.18,51.32
